<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20200102,180000,61.7650000,61.8090000,61.7398000,61.7512000,1801
20200102,181500,61.7696000,61.7887000,61.7185000,61.7720000,1844
20200102,183000,61.7820000,61.8089000,61.7473000,61.7947000,1923
20200102,184500,61.8108000,61.8108000,61.7323000,61.7611000,2080
20200102,190000,61.7752000,61.7893000,61.7023000,61.7320000,1728
20200102,191500,61.7381000,61.7505000,61.6498000,61.6647000,1510
20200102,193000,61.6618000,61.7450000,61.6510000,61.7147000,1825
20200102,194500,61.7267000,61.7439000,61.6510000,61.7190000,1467
20200102,200000,61.7329000,61.7900000,61.6910000,61.7750000,1291
20200102,201500,61.7999000,61.8146000,61.7498000,61.7880000,611
20200102,203000,61.8225000,61.8225000,61.7572000,61.7748000,293
20200102,204500,61.8068000,61.8068000,61.7405000,61.7765000,513
20200102,210000,61.7765000,61.8040000,61.7548000,61.7747000,426
20200102,211500,61.7747000,61.8012000,61.7535000,61.7829000,441
20200102,213000,61.7982000,61.7996000,61.7510000,61.7798000,361
20200102,214500,61.8067000,61.8127000,61.7498000,61.7600000,542
20200102,220000,61.7760000,61.8039000,61.7600000,61.7816000,290
20200102,221500,61.7954000,61.8065000,61.7205000,61.7500000,762
20200102,223000,61.7673000,61.7840000,61.7290000,61.7569000,378
20200102,224500,61.7560000,61.7784000,61.7390000,61.7611000,551
20200102,230000,61.7713000,61.7783000,61.7400000,61.7410000,390
20200102,231500,61.7779000,61.7831000,61.7198000,61.7498000,511
20200102,233000,61.7670000,61.7670000,61.7098000,61.7356000,562
20200102,234500,61.7390000,61.7565000,61.7010000,61.7393000,469
20200103,000000,61.7610000,61.7611000,61.7035000,61.7247000,632
20200103,001500,61.7477000,61.7477000,61.6620000,61.6775000,458
20200103,003000,61.7080000,61.7156000,61.6590000,61.6712000,209
20200103,004500,61.6750000,61.7100000,61.6590000,61.7070000,380
20200103,010000,61.6750000,61.7508000,61.6575000,61.7170000,439
20200103,011500,61.6985000,61.7200000,61.6590000,61.6775000,66
20200103,013000,61.7100000,61.7300000,61.6648000,61.6775000,83
20200103,014500,61.6775000,61.7187000,61.6590000,61.6775000,228
20200103,020000,61.7078000,61.7216000,61.6590000,61.6775000,108
20200103,021500,61.6812000,61.7265000,61.6590000,61.6921000,212
20200103,023000,61.7144000,61.7144000,61.6590000,61.6929000,116
20200103,024500,61.7137000,61.7137000,61.6590000,61.6750000,132
20200103,030000,61.7068000,61.7068000,61.6750000,61.6750000,82
20200103,031500,61.7072000,61.7076000,61.6750000,61.6850000,185
20200103,033000,61.7045000,61.7051000,61.6750000,61.6750000,127
20200103,034500,61.7059000,61.7144000,61.6750000,61.6750000,85
20200103,040000,61.7059000,61.7060000,61.6530000,61.6880000,97
20200103,041500,61.7037000,61.7078000,61.6590000,61.6970000,200
20200103,043000,61.7131000,61.7131000,61.6590000,61.6725000,210
20200103,044500,61.6880000,61.7065000,61.6590000,61.6590000,163
20200103,050000,61.7020000,61.7098000,61.6473000,61.6725000,144
20200103,051500,61.7040000,61.7868000,61.6725000,61.7405000,267
20200103,053000,61.7855000,61.7855000,61.7000000,61.7527000,261
20200103,054500,61.7782000,61.7791000,61.6854000,61.7335000,541
20200103,060000,61.7755000,61.7984000,61.7200000,61.7667000,747
20200103,061500,61.7931000,61.7938000,61.7300000,61.7704000,494
