<TIME>,USD/RUB,<LAST>
094012,USD/RUB,61.565900000
094012,USD/RUB,61.514000000
094012,USD/RUB,61.514000000
094013,USD/RUB,61.563200000
094013,USD/RUB,61.545800000
094013,USD/RUB,61.563300000
094013,USD/RUB,61.563300000
094014,USD/RUB,61.563300000
094014,USD/RUB,61.568000000
094014,USD/RUB,61.514200000
094014,USD/RUB,61.515600000
094015,USD/RUB,61.546100000
094015,USD/RUB,61.565400000
094015,USD/RUB,61.515300000
094015,USD/RUB,61.562500000
094016,USD/RUB,61.516600000
094016,USD/RUB,61.566100000
094016,USD/RUB,61.516600000
094016,USD/RUB,61.516600000
094017,USD/RUB,61.562500000
094017,USD/RUB,61.565400000
094017,USD/RUB,61.565400000
094018,USD/RUB,61.565400000
094018,USD/RUB,61.565400000
094018,USD/RUB,61.531000000
094019,USD/RUB,61.565400000
094019,USD/RUB,61.516600000
094019,USD/RUB,61.568800000
094019,USD/RUB,61.568800000
094020,USD/RUB,61.568800000
094020,USD/RUB,61.518000000
094020,USD/RUB,61.568100000
094021,USD/RUB,61.549300000
094021,USD/RUB,61.519000000
094021,USD/RUB,61.568600000
094021,USD/RUB,61.568100000
094022,USD/RUB,61.549400000
094022,USD/RUB,61.568100000
094022,USD/RUB,61.517500000
094022,USD/RUB,61.548400000
094023,USD/RUB,61.565000000
094023,USD/RUB,61.565700000
094023,USD/RUB,61.517500000
094023,USD/RUB,61.565500000
094024,USD/RUB,61.517500000
094024,USD/RUB,61.565900000
094024,USD/RUB,61.514600000
094024,USD/RUB,61.563900000
094025,USD/RUB,61.515100000
094025,USD/RUB,61.514600000
094025,USD/RUB,61.548900000
094025,USD/RUB,61.566000000
094026,USD/RUB,61.565000000
094026,USD/RUB,61.517000000
094026,USD/RUB,61.566200000
094026,USD/RUB,61.566000000
094027,USD/RUB,61.566300000
094027,USD/RUB,61.567300000
094027,USD/RUB,61.516300000
094027,USD/RUB,61.517000000
094028,USD/RUB,61.566000000
094028,USD/RUB,61.567300000
094028,USD/RUB,61.516300000
094028,USD/RUB,61.517000000
094028,USD/RUB,61.517000000
094029,USD/RUB,61.565700000
094029,USD/RUB,61.516500000
094029,USD/RUB,61.517000000
094030,USD/RUB,61.565400000
094030,USD/RUB,61.565400000
094031,USD/RUB,61.565400000
094031,USD/RUB,61.566600000
094031,USD/RUB,61.517000000
094031,USD/RUB,61.547800000
094032,USD/RUB,61.517600000
094032,USD/RUB,61.567900000
094032,USD/RUB,61.565800000
094033,USD/RUB,61.567900000
094033,USD/RUB,61.567900000
094033,USD/RUB,61.547700000
094034,USD/RUB,61.565500000
094034,USD/RUB,61.517600000
094034,USD/RUB,61.565500000
094035,USD/RUB,61.565500000
094035,USD/RUB,61.518300000
094035,USD/RUB,61.568800000
094035,USD/RUB,61.518300000
094036,USD/RUB,61.568100000
094036,USD/RUB,61.515300000
094036,USD/RUB,61.565000000
094036,USD/RUB,61.545000000
094036,USD/RUB,61.565900000
094036,USD/RUB,61.514100000
094036,USD/RUB,61.514100000
094037,USD/RUB,61.564500000
094037,USD/RUB,61.514100000
094037,USD/RUB,61.564600000
094037,USD/RUB,61.562900000
094038,USD/RUB,61.514200000
094038,USD/RUB,61.564700000
094038,USD/RUB,61.564300000
094039,USD/RUB,61.514200000
094039,USD/RUB,61.564300000
094039,USD/RUB,61.564300000
094040,USD/RUB,61.563500000
094040,USD/RUB,61.513000000
094040,USD/RUB,61.564600000
094040,USD/RUB,61.562500000
094041,USD/RUB,61.562500000
094041,USD/RUB,61.513000000
094041,USD/RUB,61.563000000
094041,USD/RUB,61.563000000
094042,USD/RUB,61.513000000
094042,USD/RUB,61.564600000
094042,USD/RUB,61.510500000
094042,USD/RUB,61.541500000
094043,USD/RUB,61.560000000
094043,USD/RUB,61.511300000
094043,USD/RUB,61.562500000
094043,USD/RUB,61.541900000
094044,USD/RUB,61.562500000
094044,USD/RUB,61.511000000
094044,USD/RUB,61.560200000
094044,USD/RUB,61.562500000
094046,USD/RUB,61.560200000
094047,USD/RUB,61.561100000
094047,USD/RUB,61.511000000
094047,USD/RUB,61.543000000
094048,USD/RUB,61.509400000
094048,USD/RUB,61.560600000
094048,USD/RUB,61.541600000
094049,USD/RUB,61.559300000
094049,USD/RUB,61.509400000
094049,USD/RUB,61.559800000
094049,USD/RUB,61.558700000
094050,USD/RUB,61.558700000
094051,USD/RUB,61.560000000
094051,USD/RUB,61.511600000
094051,USD/RUB,61.561100000
094051,USD/RUB,61.561100000
094052,USD/RUB,61.561100000
094052,USD/RUB,61.560000000
094053,USD/RUB,61.560200000
094054,USD/RUB,61.555000000
094054,USD/RUB,61.561100000
094054,USD/RUB,61.560200000
094055,USD/RUB,61.561100000
094055,USD/RUB,61.543000000
094055,USD/RUB,61.560200000
094056,USD/RUB,61.560200000
094058,USD/RUB,61.511600000
094058,USD/RUB,61.562500000
094058,USD/RUB,61.511600000
094059,USD/RUB,61.561000000
094059,USD/RUB,61.561000000
094059,USD/RUB,61.561800000
094059,USD/RUB,61.511000000
094100,USD/RUB,61.560200000
094100,USD/RUB,61.510900000
094100,USD/RUB,61.562500000
094100,USD/RUB,61.561800000
094100,USD/RUB,61.561600000
094100,USD/RUB,61.542000000
094101,USD/RUB,61.561600000
094101,USD/RUB,61.511600000
094101,USD/RUB,61.561800000
094101,USD/RUB,61.561500000
094102,USD/RUB,61.561500000
094102,USD/RUB,61.561500000
094103,USD/RUB,61.561500000
094103,USD/RUB,61.561800000
094103,USD/RUB,61.513100000
094103,USD/RUB,61.561800000
094104,USD/RUB,61.562900000
094104,USD/RUB,61.514600000
094104,USD/RUB,61.567300000
094104,USD/RUB,61.567300000
094104,USD/RUB,61.566200000
094104,USD/RUB,61.566200000
094105,USD/RUB,61.566200000
094105,USD/RUB,61.516700000
094105,USD/RUB,61.566700000
094105,USD/RUB,61.517000000
094106,USD/RUB,61.566700000
094106,USD/RUB,61.566700000
094107,USD/RUB,61.566700000
094107,USD/RUB,61.567300000
094107,USD/RUB,61.547700000
094108,USD/RUB,61.566700000
094109,USD/RUB,61.517000000
094109,USD/RUB,61.566400000
094109,USD/RUB,61.516600000
094109,USD/RUB,61.516600000
094111,USD/RUB,61.567500000
094111,USD/RUB,61.518100000
094111,USD/RUB,61.570500000
094111,USD/RUB,61.518100000
094112,USD/RUB,61.518100000
094112,USD/RUB,61.568400000
094112,USD/RUB,61.517900000
094112,USD/RUB,61.549000000
094112,USD/RUB,61.549500000
094113,USD/RUB,61.565000000
094113,USD/RUB,61.519600000
094113,USD/RUB,61.569500000
094113,USD/RUB,61.519600000
094114,USD/RUB,61.520000000
094114,USD/RUB,61.570900000
094114,USD/RUB,61.569800000
094115,USD/RUB,61.569800000
094115,USD/RUB,61.521000000
094115,USD/RUB,61.570300000
094115,USD/RUB,61.521000000
094116,USD/RUB,61.570300000
094116,USD/RUB,61.572900000
094116,USD/RUB,61.521200000
094116,USD/RUB,61.522600000
094117,USD/RUB,61.572400000
094117,USD/RUB,61.521000000
094117,USD/RUB,61.521000000
094118,USD/RUB,61.570000000
094118,USD/RUB,61.572000000
094118,USD/RUB,61.520400000
094118,USD/RUB,61.572000000
094119,USD/RUB,61.570800000
094119,USD/RUB,61.572000000
094119,USD/RUB,61.521000000
094119,USD/RUB,61.521000000
094120,USD/RUB,61.553200000
094120,USD/RUB,61.570800000
094120,USD/RUB,61.570800000
094120,USD/RUB,61.553600000
094121,USD/RUB,61.570800000
094121,USD/RUB,61.570800000
094122,USD/RUB,61.570800000
094122,USD/RUB,61.521000000
094122,USD/RUB,61.572000000
094122,USD/RUB,61.553600000
094123,USD/RUB,61.553000000
094123,USD/RUB,61.570700000
094123,USD/RUB,61.553000000
094124,USD/RUB,61.569500000
094124,USD/RUB,61.565000000
094124,USD/RUB,61.569500000
094125,USD/RUB,61.569500000
094125,USD/RUB,61.561500000
094126,USD/RUB,61.569500000
094126,USD/RUB,61.569500000
094127,USD/RUB,61.569500000
094127,USD/RUB,61.569500000
094128,USD/RUB,61.569500000
094129,USD/RUB,61.552500000
094129,USD/RUB,61.569500000
094129,USD/RUB,61.521000000
094129,USD/RUB,61.569500000
094130,USD/RUB,61.569500000
094131,USD/RUB,61.553000000
094131,USD/RUB,61.552500000
094131,USD/RUB,61.569500000
094132,USD/RUB,61.552400000
094132,USD/RUB,61.569500000
094133,USD/RUB,61.552500000
094134,USD/RUB,61.569500000
094134,USD/RUB,61.521000000
094134,USD/RUB,61.521000000
094134,USD/RUB,61.569500000
094136,USD/RUB,61.521000000
094136,USD/RUB,61.569500000
094136,USD/RUB,61.552500000
094137,USD/RUB,61.569500000
094137,USD/RUB,61.520900000
094137,USD/RUB,61.572500000
094137,USD/RUB,61.572500000
094138,USD/RUB,61.554500000
094138,USD/RUB,61.572400000
094138,USD/RUB,61.572500000
094139,USD/RUB,61.571300000
094139,USD/RUB,61.572500000
094139,USD/RUB,61.521000000
094139,USD/RUB,61.520300000
094140,USD/RUB,61.570000000
094140,USD/RUB,61.520300000
094140,USD/RUB,61.570900000
094140,USD/RUB,61.552800000
094141,USD/RUB,61.570000000
094141,USD/RUB,61.570000000
094142,USD/RUB,61.570000000
094142,USD/RUB,61.552900000
094142,USD/RUB,61.570000000
094143,USD/RUB,61.570000000
094143,USD/RUB,61.570000000
094144,USD/RUB,61.570000000
094144,USD/RUB,61.570000000
094145,USD/RUB,61.553400000
094145,USD/RUB,61.521300000
094145,USD/RUB,61.571600000
094145,USD/RUB,61.568400000
094146,USD/RUB,61.571100000
094146,USD/RUB,61.572100000
094146,USD/RUB,61.522100000
094146,USD/RUB,61.554100000
094147,USD/RUB,61.521300000
094147,USD/RUB,61.522100000
094147,USD/RUB,61.571200000
094148,USD/RUB,61.571200000
094148,USD/RUB,61.537300000
094149,USD/RUB,61.571500000
094149,USD/RUB,61.522100000
094149,USD/RUB,61.573400000
094149,USD/RUB,61.571200000
094150,USD/RUB,61.571200000
094150,USD/RUB,61.522200000
094150,USD/RUB,61.573500000
094150,USD/RUB,61.572400000
094150,USD/RUB,61.523300000
094150,USD/RUB,61.573900000
094150,USD/RUB,61.573300000
094151,USD/RUB,61.524100000
094151,USD/RUB,61.585000000
094151,USD/RUB,61.587500000
094152,USD/RUB,61.586100000
094152,USD/RUB,61.587900000
094152,USD/RUB,61.536500000
094152,USD/RUB,61.568000000
094152,USD/RUB,61.586500000
094152,USD/RUB,61.537600000
094153,USD/RUB,61.587500000
094153,USD/RUB,61.532900000
094153,USD/RUB,61.583700000
094154,USD/RUB,61.533600000
094154,USD/RUB,61.583600000
094154,USD/RUB,61.532000000
094154,USD/RUB,61.581700000
094154,USD/RUB,61.532000000
094155,USD/RUB,61.532000000
094155,USD/RUB,61.582000000
094155,USD/RUB,61.532000000
094156,USD/RUB,61.564500000
094156,USD/RUB,61.532900000
094156,USD/RUB,61.583600000
094156,USD/RUB,61.533500000
094156,USD/RUB,61.581800000
094156,USD/RUB,61.582500000
094156,USD/RUB,61.533500000
094156,USD/RUB,61.533500000
094157,USD/RUB,61.582100000
094157,USD/RUB,61.583600000
094157,USD/RUB,61.532100000
094157,USD/RUB,61.532100000
094158,USD/RUB,61.580000000
094158,USD/RUB,61.532100000
094158,USD/RUB,61.582300000
094158,USD/RUB,61.580800000
094159,USD/RUB,61.580800000
094159,USD/RUB,61.531200000
094159,USD/RUB,61.582300000
094159,USD/RUB,61.580800000
094200,USD/RUB,61.580800000
094200,USD/RUB,61.534000000
094200,USD/RUB,61.585800000
094200,USD/RUB,61.535100000
094201,USD/RUB,61.535100000
094201,USD/RUB,61.585400000
094201,USD/RUB,61.585000000
094202,USD/RUB,61.585400000
094202,USD/RUB,61.586400000
094202,USD/RUB,61.535500000
094202,USD/RUB,61.584400000
094202,USD/RUB,61.566100000
094202,USD/RUB,61.535500000
094202,USD/RUB,61.535500000
094202,USD/RUB,61.585000000
094203,USD/RUB,61.535500000
094203,USD/RUB,61.585500000
094203,USD/RUB,61.533500000
094203,USD/RUB,61.533500000
094204,USD/RUB,61.582300000
094204,USD/RUB,61.532100000
094204,USD/RUB,61.584400000
094204,USD/RUB,61.533000000
094204,USD/RUB,61.565000000
094204,USD/RUB,61.533000000
094205,USD/RUB,61.584000000
094205,USD/RUB,61.533100000
094205,USD/RUB,61.586800000
094205,USD/RUB,61.535100000
094206,USD/RUB,61.585000000
094206,USD/RUB,61.585400000
094206,USD/RUB,61.532900000
094206,USD/RUB,61.533000000
094206,USD/RUB,61.533000000
094206,USD/RUB,61.584900000
094206,USD/RUB,61.582800000
094207,USD/RUB,61.533000000
094207,USD/RUB,61.583800000
094207,USD/RUB,61.532400000
094207,USD/RUB,61.533300000
094208,USD/RUB,61.533300000
094208,USD/RUB,61.582500000
094208,USD/RUB,61.533300000
094208,USD/RUB,61.533300000
094208,USD/RUB,61.581600000
094208,USD/RUB,61.581600000
094209,USD/RUB,61.533300000
094209,USD/RUB,61.583400000
094209,USD/RUB,61.533300000
094210,USD/RUB,61.581400000
094210,USD/RUB,61.533300000
094210,USD/RUB,61.583400000
094210,USD/RUB,61.583000000
094210,USD/RUB,61.583600000
094210,USD/RUB,61.583400000
094210,USD/RUB,61.533300000
094211,USD/RUB,61.582700000
094211,USD/RUB,61.584100000
094211,USD/RUB,61.532200000
094211,USD/RUB,61.533100000
094212,USD/RUB,61.582600000
094212,USD/RUB,61.533100000
094212,USD/RUB,61.583700000
094212,USD/RUB,61.533500000
094212,USD/RUB,61.582700000
094213,USD/RUB,61.533100000
094213,USD/RUB,61.533000000
094213,USD/RUB,61.583700000
094213,USD/RUB,61.582700000
094214,USD/RUB,61.533200000
094214,USD/RUB,61.532900000
094214,USD/RUB,61.584000000
094214,USD/RUB,61.534900000
094214,USD/RUB,61.534900000
094214,USD/RUB,61.535600000
094215,USD/RUB,61.535600000
094215,USD/RUB,61.534000000
094215,USD/RUB,61.586600000
094215,USD/RUB,61.585000000
094216,USD/RUB,61.585500000
094216,USD/RUB,61.585900000
094216,USD/RUB,61.534500000
094216,USD/RUB,61.534700000
094217,USD/RUB,61.567000000
094217,USD/RUB,61.535200000
094217,USD/RUB,61.585400000
094217,USD/RUB,61.583600000
094218,USD/RUB,61.535500000
094218,USD/RUB,61.534500000
094218,USD/RUB,61.584800000
094218,USD/RUB,61.584800000
094218,USD/RUB,61.582500000
094219,USD/RUB,61.549800000
094219,USD/RUB,61.584800000
094219,USD/RUB,61.534000000
094219,USD/RUB,61.534000000
094220,USD/RUB,61.584800000
094220,USD/RUB,61.534000000
094220,USD/RUB,61.584900000
094220,USD/RUB,61.584300000
094220,USD/RUB,61.567900000
094221,USD/RUB,61.585100000
094221,USD/RUB,61.535200000
094221,USD/RUB,61.567400000
094223,USD/RUB,61.567600000
094223,USD/RUB,61.567600000
094223,USD/RUB,61.584000000
094224,USD/RUB,61.580000000
094224,USD/RUB,61.584300000
094224,USD/RUB,61.535200000
094224,USD/RUB,61.535200000
094225,USD/RUB,61.566900000
094225,USD/RUB,61.583700000
094225,USD/RUB,61.533000000
094225,USD/RUB,61.582500000
094226,USD/RUB,61.582400000
094226,USD/RUB,61.534000000
094226,USD/RUB,61.582600000
094226,USD/RUB,61.565300000
094226,USD/RUB,61.582600000
094227,USD/RUB,61.582600000
094228,USD/RUB,61.565200000
094228,USD/RUB,61.582600000
094231,USD/RUB,61.583800000
094231,USD/RUB,61.534000000
094231,USD/RUB,61.586000000
094231,USD/RUB,61.536200000
094232,USD/RUB,61.584800000
094232,USD/RUB,61.584800000
094232,USD/RUB,61.585000000
094232,USD/RUB,61.585100000
094233,USD/RUB,61.568100000
094233,USD/RUB,61.536300000
094233,USD/RUB,61.589000000
094233,USD/RUB,61.570400000
094234,USD/RUB,61.588700000
094234,USD/RUB,61.589500000
094234,USD/RUB,61.539000000
094234,USD/RUB,61.589500000
094234,USD/RUB,61.570300000
094235,USD/RUB,61.570900000
094235,USD/RUB,61.588500000
094235,USD/RUB,61.570400000
094235,USD/RUB,61.570900000
094236,USD/RUB,61.588500000
094236,USD/RUB,61.539100000
094236,USD/RUB,61.539100000
094236,USD/RUB,61.570500000
094237,USD/RUB,61.588500000
094237,USD/RUB,61.588500000
094237,USD/RUB,61.590000000
094238,USD/RUB,61.587500000
094238,USD/RUB,61.590100000
094238,USD/RUB,61.539100000
094238,USD/RUB,61.539100000
094238,USD/RUB,61.588000000
094238,USD/RUB,61.588000000
094239,USD/RUB,61.539100000
094239,USD/RUB,61.588000000
094239,USD/RUB,61.570400000
094240,USD/RUB,61.588000000
094240,USD/RUB,61.539100000
094240,USD/RUB,61.590100000
094240,USD/RUB,61.587500000
094240,USD/RUB,61.539100000
094240,USD/RUB,61.587900000
094240,USD/RUB,61.571000000
094241,USD/RUB,61.540100000
094241,USD/RUB,61.590200000
094241,USD/RUB,61.589000000
094242,USD/RUB,61.589000000
094242,USD/RUB,61.540100000
094242,USD/RUB,61.590200000
094242,USD/RUB,61.590200000
094243,USD/RUB,61.589000000
094243,USD/RUB,61.590100000
094243,USD/RUB,61.571200000
094243,USD/RUB,61.539700000
094244,USD/RUB,61.539700000
094244,USD/RUB,61.589300000
094244,USD/RUB,61.589300000
094245,USD/RUB,61.589300000
094246,USD/RUB,61.589300000
094246,USD/RUB,61.590300000
094246,USD/RUB,61.540600000
094246,USD/RUB,61.590000000
094246,USD/RUB,61.587500000
094246,USD/RUB,61.540800000
094246,USD/RUB,61.590100000
094246,USD/RUB,61.540800000
094247,USD/RUB,61.590200000
094247,USD/RUB,61.539500000
094247,USD/RUB,61.588900000
094248,USD/RUB,61.539500000
094248,USD/RUB,61.590000000
094248,USD/RUB,61.571800000
094249,USD/RUB,61.590000000
094249,USD/RUB,61.541000000
094249,USD/RUB,61.590000000
094250,USD/RUB,61.590000000
094250,USD/RUB,61.541000000
094250,USD/RUB,61.541000000
094251,USD/RUB,61.590300000
094251,USD/RUB,61.541000000
094251,USD/RUB,61.571800000
094252,USD/RUB,61.588900000
094252,USD/RUB,61.588900000
094253,USD/RUB,61.589200000
094253,USD/RUB,61.539300000
094253,USD/RUB,61.590000000
094253,USD/RUB,61.570300000
094254,USD/RUB,61.588400000
094254,USD/RUB,61.588600000
094254,USD/RUB,61.539300000
094254,USD/RUB,61.588500000
094255,USD/RUB,61.570300000
094255,USD/RUB,61.588400000
094255,USD/RUB,61.539300000
094255,USD/RUB,61.539300000
094256,USD/RUB,61.587700000
094256,USD/RUB,61.588400000
094256,USD/RUB,61.535500000
094256,USD/RUB,61.582500000
094257,USD/RUB,61.535500000
094257,USD/RUB,61.586200000
094257,USD/RUB,61.534500000
094257,USD/RUB,61.566100000
094258,USD/RUB,61.566600000
094258,USD/RUB,61.534500000
094258,USD/RUB,61.584100000
094258,USD/RUB,61.534500000
094258,USD/RUB,61.584100000
094259,USD/RUB,61.584100000
094259,USD/RUB,61.534600000
094259,USD/RUB,61.566100000
094300,USD/RUB,61.583500000
094300,USD/RUB,61.583500000
094300,USD/RUB,61.582500000
094300,USD/RUB,61.583500000
094301,USD/RUB,61.583500000
094301,USD/RUB,61.534600000
094301,USD/RUB,61.583500000
094302,USD/RUB,61.583500000
094302,USD/RUB,61.582500000
094302,USD/RUB,61.582500000
094302,USD/RUB,61.583500000
094303,USD/RUB,61.583500000
094303,USD/RUB,61.582500000
094303,USD/RUB,61.583500000
094304,USD/RUB,61.583500000
094304,USD/RUB,61.533800000
094304,USD/RUB,61.534500000
094305,USD/RUB,61.583500000
094305,USD/RUB,61.583500000
094305,USD/RUB,61.566000000
094306,USD/RUB,61.583500000
094306,USD/RUB,61.583500000
094306,USD/RUB,61.583500000
094307,USD/RUB,61.565900000
094307,USD/RUB,61.534600000
094307,USD/RUB,61.534600000
094307,USD/RUB,61.583500000
094308,USD/RUB,61.583500000
094308,USD/RUB,61.583500000
094309,USD/RUB,61.534000000
094309,USD/RUB,61.583500000
094309,USD/RUB,61.583500000
094310,USD/RUB,61.583500000
094310,USD/RUB,61.583500000
094311,USD/RUB,61.583500000
094311,USD/RUB,61.583500000
094312,USD/RUB,61.582500000
094312,USD/RUB,61.584100000
094312,USD/RUB,61.583500000
094313,USD/RUB,61.583500000
094313,USD/RUB,61.584100000
094313,USD/RUB,61.534000000
094313,USD/RUB,61.582200000
094314,USD/RUB,61.582200000
094314,USD/RUB,61.534000000
094314,USD/RUB,61.584100000
094314,USD/RUB,61.534000000
094315,USD/RUB,61.584100000
094315,USD/RUB,61.534000000
094315,USD/RUB,61.582200000
094316,USD/RUB,61.584100000
094316,USD/RUB,61.582200000
094316,USD/RUB,61.582200000
094316,USD/RUB,61.582500000
094316,USD/RUB,61.582500000
094317,USD/RUB,61.582700000
094317,USD/RUB,61.534000000
094317,USD/RUB,61.584100000
094317,USD/RUB,61.582700000
094318,USD/RUB,61.582500000
094318,USD/RUB,61.534000000
094318,USD/RUB,61.582300000
094319,USD/RUB,61.548500000
094319,USD/RUB,61.582300000
094319,USD/RUB,61.583700000
094320,USD/RUB,61.583000000
094320,USD/RUB,61.534000000
094320,USD/RUB,61.584300000
094320,USD/RUB,61.583800000
094321,USD/RUB,61.566000000
094321,USD/RUB,61.583800000
094321,USD/RUB,61.583600000
094322,USD/RUB,61.566100000
094322,USD/RUB,61.583700000
094322,USD/RUB,61.534500000
094322,USD/RUB,61.583500000
094323,USD/RUB,61.566000000
094323,USD/RUB,61.535300000
094323,USD/RUB,61.583800000
094323,USD/RUB,61.583500000
094324,USD/RUB,61.578000000
094324,USD/RUB,61.583800000
094324,USD/RUB,61.583500000
094325,USD/RUB,61.575300000
094325,USD/RUB,61.583500000
094325,USD/RUB,61.583700000
094326,USD/RUB,61.583500000
094326,USD/RUB,61.583500000
094327,USD/RUB,61.565300000
094327,USD/RUB,61.535300000
094327,USD/RUB,61.585000000
094327,USD/RUB,61.585600000
094328,USD/RUB,61.585000000
094328,USD/RUB,61.536500000
094328,USD/RUB,61.585000000
094329,USD/RUB,61.585000000
094329,USD/RUB,61.536500000
094329,USD/RUB,61.585600000
094329,USD/RUB,61.585000000
094330,USD/RUB,61.585000000
094330,USD/RUB,61.536600000
094330,USD/RUB,61.536600000
094331,USD/RUB,61.585000000
094331,USD/RUB,61.536600000
094331,USD/RUB,61.585000000
094332,USD/RUB,61.568900000
094332,USD/RUB,61.537000000
094332,USD/RUB,61.587000000
094332,USD/RUB,61.537600000
094333,USD/RUB,61.569100000
094333,USD/RUB,61.536400000
094333,USD/RUB,61.568000000
094333,USD/RUB,61.585600000
094334,USD/RUB,61.536400000
094334,USD/RUB,61.585600000
094334,USD/RUB,61.584800000
094334,USD/RUB,61.536400000
094334,USD/RUB,61.536400000
094335,USD/RUB,61.584800000
094335,USD/RUB,61.567600000
094335,USD/RUB,61.585600000
094335,USD/RUB,61.584800000
094336,USD/RUB,61.585400000
094336,USD/RUB,61.584800000
094336,USD/RUB,61.584800000
094337,USD/RUB,61.585400000
094337,USD/RUB,61.584800000
094337,USD/RUB,61.584800000
094338,USD/RUB,61.535900000
094338,USD/RUB,61.535900000
094338,USD/RUB,61.584800000
094339,USD/RUB,61.584800000
094339,USD/RUB,61.584800000
094340,USD/RUB,61.584800000
094340,USD/RUB,61.584800000
094341,USD/RUB,61.584800000
094341,USD/RUB,61.584800000
094342,USD/RUB,61.584800000
094342,USD/RUB,61.584800000
094343,USD/RUB,61.585400000
094343,USD/RUB,61.533000000
094343,USD/RUB,61.580000000
094344,USD/RUB,61.533000000
094344,USD/RUB,61.530100000
094344,USD/RUB,61.580200000
094344,USD/RUB,61.578300000
094345,USD/RUB,61.530100000
094345,USD/RUB,61.578300000
094345,USD/RUB,61.578200000
094346,USD/RUB,61.578200000
094346,USD/RUB,61.578200000
094347,USD/RUB,61.561300000
094348,USD/RUB,61.578200000
094349,USD/RUB,61.530000000
094349,USD/RUB,61.543500000
094349,USD/RUB,61.578200000
094350,USD/RUB,61.577500000
094350,USD/RUB,61.578600000
094350,USD/RUB,61.527200000
094350,USD/RUB,61.576500000
094351,USD/RUB,61.527200000
094351,USD/RUB,61.576900000
094351,USD/RUB,61.525400000
094351,USD/RUB,61.573900000
094352,USD/RUB,61.525400000
094352,USD/RUB,61.523900000
094352,USD/RUB,61.575000000
094352,USD/RUB,61.524500000
094352,USD/RUB,61.524500000
094352,USD/RUB,61.574800000
094352,USD/RUB,61.524500000
094353,USD/RUB,61.574800000
094353,USD/RUB,61.524500000
094353,USD/RUB,61.573900000
094354,USD/RUB,61.572500000
094354,USD/RUB,61.570000000
094354,USD/RUB,61.574800000
094354,USD/RUB,61.573900000
094354,USD/RUB,61.573900000
094354,USD/RUB,61.524500000
094354,USD/RUB,61.572500000
094355,USD/RUB,61.524500000
094355,USD/RUB,61.574200000
094355,USD/RUB,61.524500000
094356,USD/RUB,61.573900000
094356,USD/RUB,61.524500000
094356,USD/RUB,61.574800000
094356,USD/RUB,61.573900000
094356,USD/RUB,61.574400000
094356,USD/RUB,61.575000000
094356,USD/RUB,61.555400000
094356,USD/RUB,61.574400000
094357,USD/RUB,61.525300000
094357,USD/RUB,61.575400000
094357,USD/RUB,61.574200000
094358,USD/RUB,61.525300000
094358,USD/RUB,61.574800000
094358,USD/RUB,61.574200000
094358,USD/RUB,61.525800000
094358,USD/RUB,61.557500000
094359,USD/RUB,61.525800000
094359,USD/RUB,61.577900000
094359,USD/RUB,61.529000000
094400,USD/RUB,61.576900000
094400,USD/RUB,61.578000000
094400,USD/RUB,61.560000000
094401,USD/RUB,61.575000000
094401,USD/RUB,61.577900000
094401,USD/RUB,61.527600000
094401,USD/RUB,61.527600000
094402,USD/RUB,61.576800000
094402,USD/RUB,61.528400000
094402,USD/RUB,61.576900000
094402,USD/RUB,61.559500000
094402,USD/RUB,61.560000000
094402,USD/RUB,61.576900000
094403,USD/RUB,61.529200000
094403,USD/RUB,61.577900000
094403,USD/RUB,61.560500000
094404,USD/RUB,61.576900000
094404,USD/RUB,61.529200000
094404,USD/RUB,61.576900000
094404,USD/RUB,61.560400000
094405,USD/RUB,61.576900000
094406,USD/RUB,61.576900000
094407,USD/RUB,61.576900000
094407,USD/RUB,61.529200000
094407,USD/RUB,61.578000000
094407,USD/RUB,61.529200000
094408,USD/RUB,61.578000000
094409,USD/RUB,61.578000000
094410,USD/RUB,61.577100000
094410,USD/RUB,61.577700000
094410,USD/RUB,61.529200000
094410,USD/RUB,61.576900000
094411,USD/RUB,61.577400000
094411,USD/RUB,61.529000000
094411,USD/RUB,61.529000000
094412,USD/RUB,61.577400000
094412,USD/RUB,61.575000000
094412,USD/RUB,61.526200000
094412,USD/RUB,61.526200000
094412,USD/RUB,61.576700000
094413,USD/RUB,61.526200000
094413,USD/RUB,61.575600000
094413,USD/RUB,61.575000000
094414,USD/RUB,61.574300000
094414,USD/RUB,61.526200000
094414,USD/RUB,61.576000000
094414,USD/RUB,61.575100000
094414,USD/RUB,61.575000000
094415,USD/RUB,61.526200000
094415,USD/RUB,61.575100000
094415,USD/RUB,61.575100000
094416,USD/RUB,61.575100000
094416,USD/RUB,61.526500000
094416,USD/RUB,61.558100000
094416,USD/RUB,61.574200000
094417,USD/RUB,61.526500000
094417,USD/RUB,61.574200000
094417,USD/RUB,61.574200000
094418,USD/RUB,61.575400000
094418,USD/RUB,61.526500000
094418,USD/RUB,61.575400000
094419,USD/RUB,61.575400000
094419,USD/RUB,61.525300000
094419,USD/RUB,61.576000000
094419,USD/RUB,61.525300000
094420,USD/RUB,61.525300000
094420,USD/RUB,61.575000000
094420,USD/RUB,61.575000000
094420,USD/RUB,61.574900000
094420,USD/RUB,61.525300000
094420,USD/RUB,61.557500000
094421,USD/RUB,61.525300000
094421,USD/RUB,61.576000000
094421,USD/RUB,61.558700000
094422,USD/RUB,61.575800000
094422,USD/RUB,61.526300000
094422,USD/RUB,61.577100000
094422,USD/RUB,61.526400000
