<TIME>,USD/RUB,<LAST>
000716,USD/RUB,61.542300000
000716,USD/RUB,61.535000000
000716,USD/RUB,61.535000000
000716,USD/RUB,61.544100000
000736,USD/RUB,61.535000000
000738,USD/RUB,61.535000000
000738,USD/RUB,61.535000000
000740,USD/RUB,61.535000000
000740,USD/RUB,61.542500000
000741,USD/RUB,61.535000000
000741,USD/RUB,61.544300000
000743,USD/RUB,61.544300000
000743,USD/RUB,61.535000000
000743,USD/RUB,61.535000000
000745,USD/RUB,61.535000000
000745,USD/RUB,61.544300000
000745,USD/RUB,61.535000000
000747,USD/RUB,61.535000000
000747,USD/RUB,61.544300000
000747,USD/RUB,61.535000000
000749,USD/RUB,61.535000000
000749,USD/RUB,61.544300000
000749,USD/RUB,61.535000000
000751,USD/RUB,61.535000000
000751,USD/RUB,61.535000000
000751,USD/RUB,61.544300000
000752,USD/RUB,61.535000000
000754,USD/RUB,61.535000000
000754,USD/RUB,61.544300000
000754,USD/RUB,61.535000000
000756,USD/RUB,61.535000000
000756,USD/RUB,61.544300000
000756,USD/RUB,61.544300000
000758,USD/RUB,61.535000000
000758,USD/RUB,61.544300000
000758,USD/RUB,61.535000000
000800,USD/RUB,61.535000000
000800,USD/RUB,61.544600000
000800,USD/RUB,61.535000000
000802,USD/RUB,61.535000000
000802,USD/RUB,61.544400000
000802,USD/RUB,61.544400000
000805,USD/RUB,61.535000000
000805,USD/RUB,61.544300000
000805,USD/RUB,61.535000000
000806,USD/RUB,61.535000000
000806,USD/RUB,61.527500000
000806,USD/RUB,61.545100000
000807,USD/RUB,61.535000000
000807,USD/RUB,61.545200000
000807,USD/RUB,61.545200000
000809,USD/RUB,61.535000000
000809,USD/RUB,61.545100000
000809,USD/RUB,61.535000000
000811,USD/RUB,61.542400000
000811,USD/RUB,61.545100000
000811,USD/RUB,61.535000000
000811,USD/RUB,61.535000000
000812,USD/RUB,61.531000000
000813,USD/RUB,61.542400000
000814,USD/RUB,61.535000000
000814,USD/RUB,61.535000000
000814,USD/RUB,61.557000000
000816,USD/RUB,61.535000000
000816,USD/RUB,61.545100000
000816,USD/RUB,61.535000000
000818,USD/RUB,61.535000000
000818,USD/RUB,61.545100000
000818,USD/RUB,61.545100000
000820,USD/RUB,61.535000000
000820,USD/RUB,61.545100000
000820,USD/RUB,61.535000000
000822,USD/RUB,61.535000000
000822,USD/RUB,61.545100000
000822,USD/RUB,61.535000000
000824,USD/RUB,61.535000000
000824,USD/RUB,61.535000000
000824,USD/RUB,61.542200000
000825,USD/RUB,61.545100000
000827,USD/RUB,61.535000000
000827,USD/RUB,61.535000000
000827,USD/RUB,61.545100000
000829,USD/RUB,61.535000000
000829,USD/RUB,61.545100000
000829,USD/RUB,61.545100000
000831,USD/RUB,61.545100000
000831,USD/RUB,61.535000000
000831,USD/RUB,61.535000000
000833,USD/RUB,61.535000000
000833,USD/RUB,61.545100000
000833,USD/RUB,61.545100000
000833,USD/RUB,61.535000000
000835,USD/RUB,61.535000000
000836,USD/RUB,61.535000000
000836,USD/RUB,61.535000000
000836,USD/RUB,61.545100000
000838,USD/RUB,61.542200000
000838,USD/RUB,61.535000000
000838,USD/RUB,61.535000000
000838,USD/RUB,61.545100000
000840,USD/RUB,61.535000000
000840,USD/RUB,61.545100000
000840,USD/RUB,61.545100000
000842,USD/RUB,61.542200000
000842,USD/RUB,61.545100000
000842,USD/RUB,61.535000000
000842,USD/RUB,61.535000000
000844,USD/RUB,61.542200000
000844,USD/RUB,61.535000000
000844,USD/RUB,61.535000000
000844,USD/RUB,61.545100000
000846,USD/RUB,61.542200000
000846,USD/RUB,61.535000000
000846,USD/RUB,61.535000000
000847,USD/RUB,61.545100000
000849,USD/RUB,61.542200000
000849,USD/RUB,61.535000000
000849,USD/RUB,61.535000000
000849,USD/RUB,61.545100000
000851,USD/RUB,61.542200000
000851,USD/RUB,61.535000000
000851,USD/RUB,61.545100000
000851,USD/RUB,61.535000000
000853,USD/RUB,61.542200000
000853,USD/RUB,61.535000000
000853,USD/RUB,61.545100000
000853,USD/RUB,61.535000000
000855,USD/RUB,61.535000000
000855,USD/RUB,61.542200000
000855,USD/RUB,61.535000000
000855,USD/RUB,61.545100000
000857,USD/RUB,61.542200000
000857,USD/RUB,61.535000000
000858,USD/RUB,61.535000000
000858,USD/RUB,61.545100000
000900,USD/RUB,61.542200000
000900,USD/RUB,61.535000000
000900,USD/RUB,61.535000000
000900,USD/RUB,61.545100000
000902,USD/RUB,61.535000000
000902,USD/RUB,61.545100000
000902,USD/RUB,61.535000000
000904,USD/RUB,61.535000000
000904,USD/RUB,61.535000000
000904,USD/RUB,61.545100000
000906,USD/RUB,61.535000000
000906,USD/RUB,61.542200000
000906,USD/RUB,61.535000000
000907,USD/RUB,61.545100000
000908,USD/RUB,61.535000000
000908,USD/RUB,61.542200000
000909,USD/RUB,61.535000000
000909,USD/RUB,61.545100000
000911,USD/RUB,61.535000000
000911,USD/RUB,61.535000000
000911,USD/RUB,61.545100000
000913,USD/RUB,61.542200000
000913,USD/RUB,61.535000000
000913,USD/RUB,61.535000000
000913,USD/RUB,61.545100000
000915,USD/RUB,61.542200000
000915,USD/RUB,61.535000000
000915,USD/RUB,61.535000000
000915,USD/RUB,61.545100000
000917,USD/RUB,61.535000000
000917,USD/RUB,61.545100000
000917,USD/RUB,61.535000000
000919,USD/RUB,61.535000000
000919,USD/RUB,61.545100000
000919,USD/RUB,61.535000000
000922,USD/RUB,61.535000000
000922,USD/RUB,61.545100000
000922,USD/RUB,61.535000000
000942,USD/RUB,61.535000000
000953,USD/RUB,61.535000000
000953,USD/RUB,61.507500000
000953,USD/RUB,61.545600000
000955,USD/RUB,61.535000000
000955,USD/RUB,61.545200000
000955,USD/RUB,61.545200000
