<TIME>,EUR/RUB,<LAST>
093151,EUR/RUB,68.191000000
093152,EUR/RUB,68.193000000
093152,EUR/RUB,68.198000000
093153,EUR/RUB,68.194000000
093153,EUR/RUB,68.194000000
093154,EUR/RUB,68.190000000
093154,EUR/RUB,68.190000000
093155,EUR/RUB,68.190000000
093155,EUR/RUB,68.191000000
093155,EUR/RUB,68.191000000
093156,EUR/RUB,68.191000000
093156,EUR/RUB,68.191000000
093156,EUR/RUB,68.189000000
093157,EUR/RUB,68.189000000
093157,EUR/RUB,68.189000000
093158,EUR/RUB,68.189000000
093158,EUR/RUB,68.189000000
093159,EUR/RUB,68.189000000
093159,EUR/RUB,68.189000000
093200,EUR/RUB,68.189000000
093200,EUR/RUB,68.189000000
093201,EUR/RUB,68.189000000
093201,EUR/RUB,68.190000000
093202,EUR/RUB,68.190000000
093202,EUR/RUB,68.191000000
093203,EUR/RUB,68.191000000
093203,EUR/RUB,68.189000000
093204,EUR/RUB,68.189000000
093204,EUR/RUB,68.190000000
093205,EUR/RUB,68.190000000
093205,EUR/RUB,68.190000000
093206,EUR/RUB,68.190000000
093206,EUR/RUB,68.190000000
093206,EUR/RUB,68.192600000
093207,EUR/RUB,68.190000000
093207,EUR/RUB,68.191000000
093208,EUR/RUB,68.191000000
093208,EUR/RUB,68.191000000
093209,EUR/RUB,68.191000000
093209,EUR/RUB,68.191000000
093210,EUR/RUB,68.191000000
093210,EUR/RUB,68.189000000
093211,EUR/RUB,68.189000000
093211,EUR/RUB,68.189000000
093212,EUR/RUB,68.189000000
093212,EUR/RUB,68.190000000
093213,EUR/RUB,68.190000000
093213,EUR/RUB,68.189000000
093214,EUR/RUB,68.189000000
093214,EUR/RUB,68.189000000
093215,EUR/RUB,68.189000000
093215,EUR/RUB,68.189000000
093216,EUR/RUB,68.189000000
093216,EUR/RUB,68.189000000
093217,EUR/RUB,68.189000000
093217,EUR/RUB,68.189000000
093218,EUR/RUB,68.189000000
093218,EUR/RUB,68.190000000
093219,EUR/RUB,68.190000000
093219,EUR/RUB,68.190000000
093220,EUR/RUB,68.190000000
093220,EUR/RUB,68.189000000
093221,EUR/RUB,68.189000000
093221,EUR/RUB,68.189000000
093222,EUR/RUB,68.189000000
093222,EUR/RUB,68.189000000
093223,EUR/RUB,68.189000000
093223,EUR/RUB,68.189000000
093224,EUR/RUB,68.189000000
093224,EUR/RUB,68.189000000
093225,EUR/RUB,68.186000000
093225,EUR/RUB,68.189000000
093226,EUR/RUB,68.189000000
093226,EUR/RUB,68.185000000
093227,EUR/RUB,68.186000000
093228,EUR/RUB,68.183000000
093228,EUR/RUB,68.183000000
093229,EUR/RUB,68.183000000
093229,EUR/RUB,68.184000000
093230,EUR/RUB,68.184000000
093230,EUR/RUB,68.184000000
093231,EUR/RUB,68.183000000
093231,EUR/RUB,68.183000000
093232,EUR/RUB,68.183000000
093232,EUR/RUB,68.186000000
093233,EUR/RUB,68.186000000
093233,EUR/RUB,68.186000000
093234,EUR/RUB,68.186000000
093234,EUR/RUB,68.184000000
093235,EUR/RUB,68.184000000
093235,EUR/RUB,68.183000000
093236,EUR/RUB,68.183000000
093236,EUR/RUB,68.185000000
093236,EUR/RUB,68.185000000
093237,EUR/RUB,68.183000000
093237,EUR/RUB,68.183000000
093237,EUR/RUB,68.140000000
093238,EUR/RUB,68.181000000
093239,EUR/RUB,68.181000000
093240,EUR/RUB,68.182000000
093241,EUR/RUB,68.182000000
093241,EUR/RUB,68.184000000
093242,EUR/RUB,68.184000000
093242,EUR/RUB,68.183000000
093243,EUR/RUB,68.183000000
093243,EUR/RUB,68.183000000
093244,EUR/RUB,68.183000000
093244,EUR/RUB,68.187200000
093245,EUR/RUB,68.183000000
093245,EUR/RUB,68.184000000
093246,EUR/RUB,68.181000000
093246,EUR/RUB,68.189000000
093247,EUR/RUB,68.189000000
093247,EUR/RUB,68.186000000
093248,EUR/RUB,68.186000000
093249,EUR/RUB,68.186000000
093249,EUR/RUB,68.180000000
093250,EUR/RUB,68.186000000
093250,EUR/RUB,68.186000000
093250,EUR/RUB,68.186000000
093251,EUR/RUB,68.186000000
093251,EUR/RUB,68.186000000
093252,EUR/RUB,68.186000000
093253,EUR/RUB,68.186000000
093253,EUR/RUB,68.186000000
093253,EUR/RUB,68.184000000
093254,EUR/RUB,68.184000000
093254,EUR/RUB,68.184000000
093255,EUR/RUB,68.178000000
093255,EUR/RUB,68.183000000
093256,EUR/RUB,68.183000000
093256,EUR/RUB,68.183000000
093257,EUR/RUB,68.181000000
093257,EUR/RUB,68.181000000
093258,EUR/RUB,68.181000000
093259,EUR/RUB,68.182000000
093300,EUR/RUB,68.182000000
093300,EUR/RUB,68.182000000
093301,EUR/RUB,68.180000000
093302,EUR/RUB,68.180000000
093303,EUR/RUB,68.180000000
093304,EUR/RUB,68.180000000
093305,EUR/RUB,68.180000000
093306,EUR/RUB,68.180000000
093307,EUR/RUB,68.180000000
093308,EUR/RUB,68.138000000
093308,EUR/RUB,68.176000000
093309,EUR/RUB,68.178000000
093310,EUR/RUB,68.177000000
093311,EUR/RUB,68.175000000
093312,EUR/RUB,68.176000000
093313,EUR/RUB,68.171000000
093314,EUR/RUB,68.169000000
093315,EUR/RUB,68.170000000
093316,EUR/RUB,68.171000000
093316,EUR/RUB,68.180000000
093317,EUR/RUB,68.180000000
093317,EUR/RUB,68.184400000
093318,EUR/RUB,68.180000000
093319,EUR/RUB,68.180000000
093319,EUR/RUB,68.178000000
093320,EUR/RUB,68.178000000
093320,EUR/RUB,68.180000000
093321,EUR/RUB,68.180000000
093321,EUR/RUB,68.180000000
093322,EUR/RUB,68.180000000
093322,EUR/RUB,68.180000000
093323,EUR/RUB,68.180000000
093323,EUR/RUB,68.180000000
093324,EUR/RUB,68.180000000
093324,EUR/RUB,68.180000000
093325,EUR/RUB,68.176000000
093325,EUR/RUB,68.180000000
093325,EUR/RUB,68.180000000
093326,EUR/RUB,68.180000000
093326,EUR/RUB,68.180000000
093327,EUR/RUB,68.180000000
093327,EUR/RUB,68.180000000
093328,EUR/RUB,68.180000000
093328,EUR/RUB,68.180000000
093329,EUR/RUB,68.180000000
093329,EUR/RUB,68.179000000
093330,EUR/RUB,68.181000000
093330,EUR/RUB,68.181000000
093331,EUR/RUB,68.184000000
093331,EUR/RUB,68.184000000
093332,EUR/RUB,68.183000000
093332,EUR/RUB,68.183000000
093333,EUR/RUB,68.183000000
093333,EUR/RUB,68.183000000
093334,EUR/RUB,68.183000000
093334,EUR/RUB,68.183000000
093335,EUR/RUB,68.179000000
093335,EUR/RUB,68.179000000
093336,EUR/RUB,68.179000000
093336,EUR/RUB,68.179000000
093337,EUR/RUB,68.181000000
093338,EUR/RUB,68.181000000
093338,EUR/RUB,68.141000000
093338,EUR/RUB,68.181000000
093339,EUR/RUB,68.179000000
093340,EUR/RUB,68.183000000
093340,EUR/RUB,68.183000000
093340,EUR/RUB,68.189000000
093341,EUR/RUB,68.189000000
093342,EUR/RUB,68.186000000
093343,EUR/RUB,68.186000000
093344,EUR/RUB,68.188000000
093345,EUR/RUB,68.188000000
093345,EUR/RUB,68.186000000
093346,EUR/RUB,68.186000000
093347,EUR/RUB,68.186000000
093348,EUR/RUB,68.186000000
093348,EUR/RUB,68.190800000
093348,EUR/RUB,68.186000000
093349,EUR/RUB,68.187000000
093350,EUR/RUB,68.187000000
093351,EUR/RUB,68.187000000
093351,EUR/RUB,68.187000000
093352,EUR/RUB,68.187000000
093353,EUR/RUB,68.187000000
093354,EUR/RUB,68.187000000
093354,EUR/RUB,68.184000000
093355,EUR/RUB,68.184000000
093355,EUR/RUB,68.189000000
093355,EUR/RUB,68.189000000
093356,EUR/RUB,68.190000000
093356,EUR/RUB,68.190000000
093357,EUR/RUB,68.190000000
093357,EUR/RUB,68.190000000
093358,EUR/RUB,68.190000000
093359,EUR/RUB,68.187000000
093359,EUR/RUB,68.187000000
093400,EUR/RUB,68.187000000
093400,EUR/RUB,68.187000000
093401,EUR/RUB,68.187000000
093401,EUR/RUB,68.187000000
093402,EUR/RUB,68.188000000
093402,EUR/RUB,68.188000000
093403,EUR/RUB,68.188000000
093403,EUR/RUB,68.188000000
093404,EUR/RUB,68.188000000
093404,EUR/RUB,68.188000000
093405,EUR/RUB,68.188000000
093405,EUR/RUB,68.188000000
093406,EUR/RUB,68.188000000
093406,EUR/RUB,68.188000000
093407,EUR/RUB,68.187000000
093407,EUR/RUB,68.187000000
093408,EUR/RUB,68.148000000
093408,EUR/RUB,68.187000000
093409,EUR/RUB,68.188000000
093409,EUR/RUB,68.188000000
093410,EUR/RUB,68.188000000
093410,EUR/RUB,68.188000000
093411,EUR/RUB,68.188000000
093411,EUR/RUB,68.188000000
093412,EUR/RUB,68.188000000
093412,EUR/RUB,68.188000000
093413,EUR/RUB,68.188000000
093413,EUR/RUB,68.188000000
093414,EUR/RUB,68.189000000
093414,EUR/RUB,68.189000000
093415,EUR/RUB,68.188000000
093415,EUR/RUB,68.188000000
093416,EUR/RUB,68.188000000
093416,EUR/RUB,68.188000000
093417,EUR/RUB,68.186000000
093417,EUR/RUB,68.186000000
093418,EUR/RUB,68.186000000
093418,EUR/RUB,68.186000000
093419,EUR/RUB,68.187000000
093419,EUR/RUB,68.187000000
093420,EUR/RUB,68.187000000
093420,EUR/RUB,68.187000000
093421,EUR/RUB,68.187000000
093421,EUR/RUB,68.191900000
093421,EUR/RUB,68.187000000
093422,EUR/RUB,68.187000000
093423,EUR/RUB,68.187000000
093423,EUR/RUB,68.187000000
093424,EUR/RUB,68.187000000
093424,EUR/RUB,68.187000000
093425,EUR/RUB,68.187000000
093425,EUR/RUB,68.190000000
093425,EUR/RUB,68.189000000
093426,EUR/RUB,68.189000000
093426,EUR/RUB,68.189000000
093427,EUR/RUB,68.189000000
093427,EUR/RUB,68.189000000
093428,EUR/RUB,68.189000000
093428,EUR/RUB,68.189000000
093429,EUR/RUB,68.189000000
093429,EUR/RUB,68.191000000
093429,EUR/RUB,68.191000000
093430,EUR/RUB,68.186000000
093430,EUR/RUB,68.202000000
093430,EUR/RUB,68.198000000
093430,EUR/RUB,68.198000000
093431,EUR/RUB,68.187000000
093431,EUR/RUB,68.197000000
093432,EUR/RUB,68.197000000
093433,EUR/RUB,68.197000000
093433,EUR/RUB,68.196000000
093434,EUR/RUB,68.196000000
093434,EUR/RUB,68.191000000
093434,EUR/RUB,68.191000000
093435,EUR/RUB,68.198000000
093435,EUR/RUB,68.198000000
093436,EUR/RUB,68.195000000
093436,EUR/RUB,68.197000000
093437,EUR/RUB,68.197000000
093438,EUR/RUB,68.197000000
093438,EUR/RUB,68.155000000
093439,EUR/RUB,68.197000000
093439,EUR/RUB,68.197000000
093440,EUR/RUB,68.197000000
093441,EUR/RUB,68.197000000
093442,EUR/RUB,68.198000000
093442,EUR/RUB,68.198000000
093443,EUR/RUB,68.197000000
093444,EUR/RUB,68.197000000
093445,EUR/RUB,68.197000000
093445,EUR/RUB,68.197000000
093446,EUR/RUB,68.197000000
093446,EUR/RUB,68.197000000
093447,EUR/RUB,68.197000000
093448,EUR/RUB,68.197000000
093449,EUR/RUB,68.197000000
093449,EUR/RUB,68.197000000
093450,EUR/RUB,68.197000000
093451,EUR/RUB,68.197000000
093452,EUR/RUB,68.199600000
093452,EUR/RUB,68.199000000
093453,EUR/RUB,68.198000000
093453,EUR/RUB,68.198000000
093454,EUR/RUB,68.198000000
093455,EUR/RUB,68.196000000
093455,EUR/RUB,68.199000000
093456,EUR/RUB,68.198000000
093456,EUR/RUB,68.198000000
093457,EUR/RUB,68.198000000
093458,EUR/RUB,68.198000000
093459,EUR/RUB,68.198000000
093459,EUR/RUB,68.198000000
093500,EUR/RUB,68.210000000
093500,EUR/RUB,68.197000000
093501,EUR/RUB,68.198000000
093502,EUR/RUB,68.198000000
093502,EUR/RUB,68.198000000
093503,EUR/RUB,68.198000000
093503,EUR/RUB,68.198000000
093504,EUR/RUB,68.198000000
093505,EUR/RUB,68.198000000
093506,EUR/RUB,68.197000000
093506,EUR/RUB,68.197000000
093507,EUR/RUB,68.197000000
093508,EUR/RUB,68.198000000
093509,EUR/RUB,68.197000000
093509,EUR/RUB,68.197000000
093510,EUR/RUB,68.201000000
093510,EUR/RUB,68.201000000
093511,EUR/RUB,68.200000000
093511,EUR/RUB,68.200000000
093512,EUR/RUB,68.201000000
093512,EUR/RUB,68.201000000
093513,EUR/RUB,68.201000000
093513,EUR/RUB,68.201000000
093514,EUR/RUB,68.200000000
093514,EUR/RUB,68.200000000
093515,EUR/RUB,68.200000000
093515,EUR/RUB,68.200000000
093516,EUR/RUB,68.200000000
093516,EUR/RUB,68.200000000
093517,EUR/RUB,68.201000000
093517,EUR/RUB,68.201000000
093518,EUR/RUB,68.201000000
093518,EUR/RUB,68.201000000
093519,EUR/RUB,68.200000000
093519,EUR/RUB,68.200000000
093520,EUR/RUB,68.200000000
093520,EUR/RUB,68.200000000
093521,EUR/RUB,68.200000000
093522,EUR/RUB,68.200000000
093522,EUR/RUB,68.200000000
093523,EUR/RUB,68.200000000
093523,EUR/RUB,68.200000000
093524,EUR/RUB,68.202600000
093524,EUR/RUB,68.201000000
093525,EUR/RUB,68.195000000
093525,EUR/RUB,68.203000000
093525,EUR/RUB,68.203000000
093526,EUR/RUB,68.199000000
093526,EUR/RUB,68.213000000
093526,EUR/RUB,68.213000000
093527,EUR/RUB,68.210000000
093527,EUR/RUB,68.210000000
093528,EUR/RUB,68.210000000
093528,EUR/RUB,68.210000000
093528,EUR/RUB,68.211000000
093529,EUR/RUB,68.211000000
093529,EUR/RUB,68.216000000
093530,EUR/RUB,68.216000000
093530,EUR/RUB,68.215000000
093531,EUR/RUB,68.215000000
093531,EUR/RUB,68.213000000
093531,EUR/RUB,68.213000000
093532,EUR/RUB,68.216000000
093532,EUR/RUB,68.216000000
093533,EUR/RUB,68.215000000
093533,EUR/RUB,68.213000000
093533,EUR/RUB,68.213000000
093534,EUR/RUB,68.217000000
093534,EUR/RUB,68.217000000
093535,EUR/RUB,68.218000000
093535,EUR/RUB,68.218000000
093536,EUR/RUB,68.220000000
093536,EUR/RUB,68.220000000
093537,EUR/RUB,68.220000000
093537,EUR/RUB,68.220000000
093538,EUR/RUB,68.220000000
093538,EUR/RUB,68.220000000
093538,EUR/RUB,68.177000000
093539,EUR/RUB,68.219000000
093539,EUR/RUB,68.219000000
093540,EUR/RUB,68.220000000
093540,EUR/RUB,68.220000000
093541,EUR/RUB,68.221000000
093541,EUR/RUB,68.221000000
093542,EUR/RUB,68.227000000
093542,EUR/RUB,68.227000000
093543,EUR/RUB,68.227000000
093543,EUR/RUB,68.227000000
093544,EUR/RUB,68.229000000
093544,EUR/RUB,68.229000000
093545,EUR/RUB,68.227000000
093545,EUR/RUB,68.227000000
093545,EUR/RUB,68.225000000
093546,EUR/RUB,68.225000000
093547,EUR/RUB,68.225000000
093547,EUR/RUB,68.225000000
093548,EUR/RUB,68.225000000
093548,EUR/RUB,68.225000000
093549,EUR/RUB,68.225000000
093549,EUR/RUB,68.225000000
093550,EUR/RUB,68.224000000
093550,EUR/RUB,68.224000000
093551,EUR/RUB,68.225000000
093551,EUR/RUB,68.225000000
093552,EUR/RUB,68.226000000
093552,EUR/RUB,68.226000000
093553,EUR/RUB,68.226000000
093554,EUR/RUB,68.225000000
093554,EUR/RUB,68.225000000
093555,EUR/RUB,68.225000000
093555,EUR/RUB,68.225000000
093556,EUR/RUB,68.224000000
093556,EUR/RUB,68.224000000
093557,EUR/RUB,68.226000000
093557,EUR/RUB,68.226000000
093558,EUR/RUB,68.226000000
093558,EUR/RUB,68.229600000
093559,EUR/RUB,68.225000000
093559,EUR/RUB,68.225000000
093600,EUR/RUB,68.226000000
093600,EUR/RUB,68.226000000
093601,EUR/RUB,68.225000000
093601,EUR/RUB,68.225000000
093602,EUR/RUB,68.226000000
093602,EUR/RUB,68.226000000
093603,EUR/RUB,68.225000000
093603,EUR/RUB,68.225000000
093604,EUR/RUB,68.225000000
093604,EUR/RUB,68.225000000
093605,EUR/RUB,68.225000000
093605,EUR/RUB,68.224000000
093606,EUR/RUB,68.224000000
093607,EUR/RUB,68.225000000
093607,EUR/RUB,68.225000000
093608,EUR/RUB,68.225000000
093608,EUR/RUB,68.225000000
093608,EUR/RUB,68.225000000
093609,EUR/RUB,68.187000000
093609,EUR/RUB,68.225000000
093610,EUR/RUB,68.226000000
093610,EUR/RUB,68.226000000
093611,EUR/RUB,68.226000000
093611,EUR/RUB,68.226000000
093612,EUR/RUB,68.226000000
093612,EUR/RUB,68.226000000
093612,EUR/RUB,68.226000000
093613,EUR/RUB,68.226000000
093614,EUR/RUB,68.226000000
093614,EUR/RUB,68.226000000
093615,EUR/RUB,68.226000000
093615,EUR/RUB,68.226000000
093616,EUR/RUB,68.225000000
093616,EUR/RUB,68.225000000
093617,EUR/RUB,68.226000000
093617,EUR/RUB,68.226000000
093618,EUR/RUB,68.227000000
093618,EUR/RUB,68.227000000
093619,EUR/RUB,68.227000000
093619,EUR/RUB,68.227000000
093620,EUR/RUB,68.226000000
093621,EUR/RUB,68.226000000
093621,EUR/RUB,68.226000000
093622,EUR/RUB,68.226000000
093622,EUR/RUB,68.226000000
093623,EUR/RUB,68.226000000
093623,EUR/RUB,68.220000000
093624,EUR/RUB,68.216000000
093624,EUR/RUB,68.215000000
093625,EUR/RUB,68.219000000
093625,EUR/RUB,68.220000000
093625,EUR/RUB,68.219000000
093626,EUR/RUB,68.219000000
093626,EUR/RUB,68.219000000
093627,EUR/RUB,68.219000000
093627,EUR/RUB,68.219000000
093628,EUR/RUB,68.220000000
093628,EUR/RUB,68.220000000
093629,EUR/RUB,68.219000000
093629,EUR/RUB,68.219000000
093630,EUR/RUB,68.216000000
093630,EUR/RUB,68.212000000
093630,EUR/RUB,68.220000000
093630,EUR/RUB,68.222600000
093631,EUR/RUB,68.220000000
093631,EUR/RUB,68.224000000
093631,EUR/RUB,68.224000000
093632,EUR/RUB,68.222000000
093633,EUR/RUB,68.222000000
093633,EUR/RUB,68.222000000
093634,EUR/RUB,68.222000000
093634,EUR/RUB,68.221000000
093635,EUR/RUB,68.221000000
093635,EUR/RUB,68.221000000
093636,EUR/RUB,68.221000000
093636,EUR/RUB,68.221000000
093637,EUR/RUB,68.221000000
093637,EUR/RUB,68.222000000
093637,EUR/RUB,68.222000000
093638,EUR/RUB,68.225000000
093638,EUR/RUB,68.225000000
093639,EUR/RUB,68.183000000
093639,EUR/RUB,68.225000000
093639,EUR/RUB,68.225000000
093640,EUR/RUB,68.224000000
093640,EUR/RUB,68.224000000
093641,EUR/RUB,68.226000000
093641,EUR/RUB,68.226000000
093642,EUR/RUB,68.225000000
093643,EUR/RUB,68.225000000
093643,EUR/RUB,68.225000000
093644,EUR/RUB,68.225000000
093644,EUR/RUB,68.225000000
093645,EUR/RUB,68.225000000
093645,EUR/RUB,68.225000000
093646,EUR/RUB,68.225000000
093646,EUR/RUB,68.225000000
093647,EUR/RUB,68.225000000
093647,EUR/RUB,68.225000000
093648,EUR/RUB,68.226000000
093649,EUR/RUB,68.226000000
093649,EUR/RUB,68.225000000
093650,EUR/RUB,68.225000000
093650,EUR/RUB,68.226000000
093650,EUR/RUB,68.226000000
093651,EUR/RUB,68.225000000
093651,EUR/RUB,68.225000000
093652,EUR/RUB,68.225000000
093652,EUR/RUB,68.225000000
093653,EUR/RUB,68.225000000
093653,EUR/RUB,68.225000000
093654,EUR/RUB,68.226000000
093654,EUR/RUB,68.233000000
093655,EUR/RUB,68.233000000
093655,EUR/RUB,68.230000000
093655,EUR/RUB,68.233000000
093656,EUR/RUB,68.233000000
093656,EUR/RUB,68.232000000
093657,EUR/RUB,68.232000000
093657,EUR/RUB,68.232000000
093658,EUR/RUB,68.232000000
093658,EUR/RUB,68.234000000
093659,EUR/RUB,68.234000000
093659,EUR/RUB,68.232000000
093700,EUR/RUB,68.232000000
093700,EUR/RUB,68.230000000
093701,EUR/RUB,68.230000000
093701,EUR/RUB,68.231000000
093702,EUR/RUB,68.231000000
093702,EUR/RUB,68.232000000
093703,EUR/RUB,68.234800000
093703,EUR/RUB,68.231000000
093704,EUR/RUB,68.231000000
093704,EUR/RUB,68.231000000
093705,EUR/RUB,68.231000000
093705,EUR/RUB,68.231000000
093706,EUR/RUB,68.231000000
093706,EUR/RUB,68.231000000
093707,EUR/RUB,68.231000000
093707,EUR/RUB,68.232000000
093708,EUR/RUB,68.232000000
093708,EUR/RUB,68.232000000
093709,EUR/RUB,68.192000000
093709,EUR/RUB,68.232000000
093709,EUR/RUB,68.232000000
093710,EUR/RUB,68.232000000
093710,EUR/RUB,68.232000000
093711,EUR/RUB,68.232000000
093711,EUR/RUB,68.232000000
093712,EUR/RUB,68.232000000
093713,EUR/RUB,68.232000000
093713,EUR/RUB,68.231000000
093714,EUR/RUB,68.231000000
093714,EUR/RUB,68.231000000
093715,EUR/RUB,68.231000000
093715,EUR/RUB,68.231000000
093716,EUR/RUB,68.231000000
093716,EUR/RUB,68.231000000
093717,EUR/RUB,68.231000000
093717,EUR/RUB,68.231000000
093718,EUR/RUB,68.231000000
093718,EUR/RUB,68.231000000
093719,EUR/RUB,68.231000000
093719,EUR/RUB,68.231000000
093720,EUR/RUB,68.232000000
093721,EUR/RUB,68.232000000
093721,EUR/RUB,68.232000000
093722,EUR/RUB,68.232000000
093722,EUR/RUB,68.232000000
093723,EUR/RUB,68.232000000
093723,EUR/RUB,68.232000000
093724,EUR/RUB,68.232000000
093724,EUR/RUB,68.232000000
093725,EUR/RUB,68.230000000
093725,EUR/RUB,68.233000000
093726,EUR/RUB,68.233000000
093726,EUR/RUB,68.234000000
093727,EUR/RUB,68.234000000
093727,EUR/RUB,68.235000000
093728,EUR/RUB,68.235000000
093728,EUR/RUB,68.236000000
093729,EUR/RUB,68.236000000
093729,EUR/RUB,68.236000000
093730,EUR/RUB,68.236000000
093730,EUR/RUB,68.235000000
093731,EUR/RUB,68.235000000
093731,EUR/RUB,68.235000000
093732,EUR/RUB,68.235000000
093732,EUR/RUB,68.235000000
093733,EUR/RUB,68.235000000
093733,EUR/RUB,68.235000000
093734,EUR/RUB,68.235000000
093734,EUR/RUB,68.236000000
093735,EUR/RUB,68.236000000
093735,EUR/RUB,68.236000000
093736,EUR/RUB,68.236000000
093736,EUR/RUB,68.236000000
093737,EUR/RUB,68.236000000
093737,EUR/RUB,68.239700000
093737,EUR/RUB,68.236000000
093738,EUR/RUB,68.236000000
093738,EUR/RUB,68.236000000
093739,EUR/RUB,68.236000000
093739,EUR/RUB,68.194000000
093739,EUR/RUB,68.235000000
093740,EUR/RUB,68.235000000
093740,EUR/RUB,68.235000000
093741,EUR/RUB,68.235000000
093742,EUR/RUB,68.235000000
093742,EUR/RUB,68.235000000
093742,EUR/RUB,68.235000000
093743,EUR/RUB,68.235000000
093743,EUR/RUB,68.235000000
093744,EUR/RUB,68.235000000
093744,EUR/RUB,68.237000000
093745,EUR/RUB,68.237000000
093745,EUR/RUB,68.235000000
093746,EUR/RUB,68.235000000
093746,EUR/RUB,68.235000000
093747,EUR/RUB,68.235000000
093747,EUR/RUB,68.237000000
093748,EUR/RUB,68.237000000
093748,EUR/RUB,68.237000000
093749,EUR/RUB,68.234000000
093749,EUR/RUB,68.234000000
093750,EUR/RUB,68.234000000
093750,EUR/RUB,68.234000000
093751,EUR/RUB,68.234000000
093751,EUR/RUB,68.237000000
093752,EUR/RUB,68.237000000
093752,EUR/RUB,68.236000000
093753,EUR/RUB,68.236000000
093753,EUR/RUB,68.236000000
093754,EUR/RUB,68.232000000
093755,EUR/RUB,68.232000000
093755,EUR/RUB,68.229000000
093756,EUR/RUB,68.229000000
093756,EUR/RUB,68.231000000
093757,EUR/RUB,68.231000000
093757,EUR/RUB,68.231000000
093758,EUR/RUB,68.231000000
093758,EUR/RUB,68.231000000
093759,EUR/RUB,68.231000000
093759,EUR/RUB,68.230000000
093800,EUR/RUB,68.230000000
093800,EUR/RUB,68.231000000
093801,EUR/RUB,68.231000000
093801,EUR/RUB,68.235000000
093802,EUR/RUB,68.235000000
093802,EUR/RUB,68.234000000
093803,EUR/RUB,68.234000000
093803,EUR/RUB,68.235000000
093804,EUR/RUB,68.235000000
093804,EUR/RUB,68.233000000
093805,EUR/RUB,68.233000000
093805,EUR/RUB,68.236000000
093806,EUR/RUB,68.236000000
093806,EUR/RUB,68.238000000
093807,EUR/RUB,68.238000000
093807,EUR/RUB,68.236000000
093808,EUR/RUB,68.236000000
093808,EUR/RUB,68.239000000
093809,EUR/RUB,68.236000000
093809,EUR/RUB,68.200000000
093810,EUR/RUB,68.231000000
093810,EUR/RUB,68.239000000
093811,EUR/RUB,68.235000000
093812,EUR/RUB,68.233000000
093813,EUR/RUB,68.233000000
093814,EUR/RUB,68.233000000
093814,EUR/RUB,68.233000000
093815,EUR/RUB,68.233000000
093816,EUR/RUB,68.233000000
093816,EUR/RUB,68.233000000
093817,EUR/RUB,68.233000000
093818,EUR/RUB,68.233000000
093819,EUR/RUB,68.231000000
093819,EUR/RUB,68.231000000
093820,EUR/RUB,68.229000000
093821,EUR/RUB,68.230000000
093822,EUR/RUB,68.234000000
093822,EUR/RUB,68.234000000
093823,EUR/RUB,68.233000000
093823,EUR/RUB,68.233000000
093824,EUR/RUB,68.232000000
093824,EUR/RUB,68.232000000
093825,EUR/RUB,68.232000000
093825,EUR/RUB,68.231000000
093825,EUR/RUB,68.232000000
093826,EUR/RUB,68.232000000
093826,EUR/RUB,68.232000000
093827,EUR/RUB,68.234000000
093827,EUR/RUB,68.234000000
093828,EUR/RUB,68.234000000
093828,EUR/RUB,68.234000000
093829,EUR/RUB,68.233000000
093829,EUR/RUB,68.233000000
093830,EUR/RUB,68.234000000
093830,EUR/RUB,68.234000000
093831,EUR/RUB,68.234000000
093831,EUR/RUB,68.234000000
093832,EUR/RUB,68.236000000
093832,EUR/RUB,68.236000000
093833,EUR/RUB,68.235000000
093834,EUR/RUB,68.234000000
093836,EUR/RUB,68.234000000
093837,EUR/RUB,68.236000000
093838,EUR/RUB,68.234000000
093840,EUR/RUB,68.197000000
093841,EUR/RUB,68.236000000
093841,EUR/RUB,68.240100000
093842,EUR/RUB,68.235000000
093843,EUR/RUB,68.237000000
093843,EUR/RUB,68.237000000
093844,EUR/RUB,68.237000000
093844,EUR/RUB,68.237000000
093844,EUR/RUB,68.240000000
093845,EUR/RUB,68.240000000
093846,EUR/RUB,68.241000000
093846,EUR/RUB,68.241000000
093847,EUR/RUB,68.240000000
093847,EUR/RUB,68.240000000
093848,EUR/RUB,68.240000000
093848,EUR/RUB,68.240000000
093849,EUR/RUB,68.240000000
093849,EUR/RUB,68.240000000
093850,EUR/RUB,68.238000000
093850,EUR/RUB,68.238000000
093851,EUR/RUB,68.239000000
093851,EUR/RUB,68.239000000
093851,EUR/RUB,68.243000000
093852,EUR/RUB,68.243000000
093852,EUR/RUB,68.243000000
093853,EUR/RUB,68.243000000
093853,EUR/RUB,68.242000000
093854,EUR/RUB,68.242000000
093855,EUR/RUB,68.242000000
093855,EUR/RUB,68.238000000
093855,EUR/RUB,68.242000000
093856,EUR/RUB,68.242000000
093856,EUR/RUB,68.245000000
093857,EUR/RUB,68.245000000
093857,EUR/RUB,68.245000000
093858,EUR/RUB,68.245000000
093858,EUR/RUB,68.250000000
093858,EUR/RUB,68.250000000
093859,EUR/RUB,68.251000000
093900,EUR/RUB,68.251000000
093901,EUR/RUB,68.251000000
093901,EUR/RUB,68.249000000
093902,EUR/RUB,68.249000000
093903,EUR/RUB,68.246000000
093903,EUR/RUB,68.246000000
093903,EUR/RUB,68.245000000
093904,EUR/RUB,68.245000000
093904,EUR/RUB,68.245000000
093905,EUR/RUB,68.247000000
093905,EUR/RUB,68.247000000
