<TIME>,EUR/RUB,<LAST>
000547,EUR/RUB,68.225000000
000548,EUR/RUB,68.225000000
000550,EUR/RUB,68.224000000
000551,EUR/RUB,68.225000000
000552,EUR/RUB,68.225000000
000553,EUR/RUB,68.225000000
000555,EUR/RUB,68.226000000
000558,EUR/RUB,68.226000000
000600,EUR/RUB,68.226000000
000602,EUR/RUB,68.226000000
000602,EUR/RUB,68.282100000
000604,EUR/RUB,68.226000000
000605,EUR/RUB,68.226000000
000619,EUR/RUB,68.226000000
000620,EUR/RUB,68.226000000
000621,EUR/RUB,68.226000000
000628,EUR/RUB,68.226000000
000634,EUR/RUB,68.282700000
000639,EUR/RUB,68.226000000
000640,EUR/RUB,68.222000000
000640,EUR/RUB,68.243000000
000641,EUR/RUB,68.224000000
000644,EUR/RUB,68.223000000
000647,EUR/RUB,68.224000000
000648,EUR/RUB,68.223000000
000649,EUR/RUB,68.223000000
000650,EUR/RUB,68.224000000
000651,EUR/RUB,68.224000000
000652,EUR/RUB,68.224000000
000653,EUR/RUB,68.224000000
000655,EUR/RUB,68.224000000
000656,EUR/RUB,68.225000000
000701,EUR/RUB,68.225000000
000702,EUR/RUB,68.225000000
000703,EUR/RUB,68.224000000
000704,EUR/RUB,68.224000000
000705,EUR/RUB,68.279700000
000709,EUR/RUB,68.224000000
000710,EUR/RUB,68.225000000
000721,EUR/RUB,68.224000000
000723,EUR/RUB,68.224000000
000731,EUR/RUB,68.225000000
000732,EUR/RUB,68.227000000
000733,EUR/RUB,68.246000000
000733,EUR/RUB,68.228000000
000735,EUR/RUB,68.228000000
000735,EUR/RUB,68.282700000
000739,EUR/RUB,68.228000000
000741,EUR/RUB,68.228000000
000755,EUR/RUB,68.228000000
000756,EUR/RUB,68.228000000
000805,EUR/RUB,68.226000000
000806,EUR/RUB,68.226000000
000807,EUR/RUB,68.226000000
000808,EUR/RUB,68.226000000
000809,EUR/RUB,68.226000000
000810,EUR/RUB,68.226000000
000811,EUR/RUB,68.226000000
000812,EUR/RUB,68.226000000
000813,EUR/RUB,68.226000000
000823,EUR/RUB,68.227000000
000824,EUR/RUB,68.226000000
000826,EUR/RUB,68.227000000
000827,EUR/RUB,68.226000000
000829,EUR/RUB,68.226000000
000830,EUR/RUB,68.226000000
000833,EUR/RUB,68.226000000
000834,EUR/RUB,68.226000000
000837,EUR/RUB,68.226000000
000839,EUR/RUB,68.226000000
000840,EUR/RUB,68.226000000
000843,EUR/RUB,68.226000000
000844,EUR/RUB,68.226000000
000847,EUR/RUB,68.226000000
000854,EUR/RUB,68.226000000
000900,EUR/RUB,68.282100000
000926,EUR/RUB,68.226000000
000928,EUR/RUB,68.226000000
000953,EUR/RUB,68.226000000
001000,EUR/RUB,68.297000000
001000,EUR/RUB,68.282700000
001031,EUR/RUB,68.282100000
001051,EUR/RUB,68.226000000
001052,EUR/RUB,68.226000000
001053,EUR/RUB,68.226000000
001109,EUR/RUB,68.227000000
001110,EUR/RUB,68.227000000
001110,EUR/RUB,68.282700000
001112,EUR/RUB,68.227000000
001113,EUR/RUB,68.226000000
001115,EUR/RUB,68.226000000
001116,EUR/RUB,68.227000000
001117,EUR/RUB,68.226000000
001118,EUR/RUB,68.227000000
001121,EUR/RUB,68.227000000
001122,EUR/RUB,68.226000000
001125,EUR/RUB,68.226000000
001128,EUR/RUB,68.227000000
001129,EUR/RUB,68.227000000
001130,EUR/RUB,68.226000000
001132,EUR/RUB,68.226000000
001132,EUR/RUB,68.226000000
001136,EUR/RUB,68.226000000
001136,EUR/RUB,68.225000000
001140,EUR/RUB,68.226000000
001141,EUR/RUB,68.282100000
001153,EUR/RUB,68.226000000
001155,EUR/RUB,68.225000000
001204,EUR/RUB,68.226000000
001208,EUR/RUB,68.225000000
001209,EUR/RUB,68.225000000
001209,EUR/RUB,68.226000000
001210,EUR/RUB,68.226000000
001212,EUR/RUB,68.282100000
001218,EUR/RUB,68.226000000
001229,EUR/RUB,68.227000000
001243,EUR/RUB,68.282100000
001252,EUR/RUB,68.226000000
001311,EUR/RUB,68.225000000
001312,EUR/RUB,68.226000000
001313,EUR/RUB,68.226000000
001316,EUR/RUB,68.226000000
001316,EUR/RUB,68.284600000
001316,EUR/RUB,68.247000000
001317,EUR/RUB,68.228000000
001319,EUR/RUB,68.228000000
001320,EUR/RUB,68.229000000
001321,EUR/RUB,68.228000000
001322,EUR/RUB,68.229000000
001323,EUR/RUB,68.228000000
001324,EUR/RUB,68.228000000
001325,EUR/RUB,68.229000000
001326,EUR/RUB,68.229000000
001327,EUR/RUB,68.229000000
001328,EUR/RUB,68.228000000
001328,EUR/RUB,68.229000000
001331,EUR/RUB,68.229000000
001332,EUR/RUB,68.228000000
001333,EUR/RUB,68.229000000
001336,EUR/RUB,68.229000000
001337,EUR/RUB,68.227000000
001338,EUR/RUB,68.227000000
001339,EUR/RUB,68.228000000
001340,EUR/RUB,68.226000000
001341,EUR/RUB,68.227000000
001342,EUR/RUB,68.228000000
001347,EUR/RUB,68.286400000
001352,EUR/RUB,68.228000000
001355,EUR/RUB,68.228000000
001359,EUR/RUB,68.228000000
001400,EUR/RUB,68.231000000
001401,EUR/RUB,68.231000000
001402,EUR/RUB,68.231000000
001403,EUR/RUB,68.231000000
001404,EUR/RUB,68.231000000
001405,EUR/RUB,68.231000000
001408,EUR/RUB,68.231000000
001416,EUR/RUB,68.251000000
001418,EUR/RUB,68.289500000
001419,EUR/RUB,68.231000000
001421,EUR/RUB,68.230000000
001422,EUR/RUB,68.230000000
001423,EUR/RUB,68.230000000
001424,EUR/RUB,68.230000000
001425,EUR/RUB,68.231000000
001426,EUR/RUB,68.231000000
001427,EUR/RUB,68.231000000
001428,EUR/RUB,68.231000000
001429,EUR/RUB,68.231000000
001434,EUR/RUB,68.231000000
001436,EUR/RUB,68.231000000
001437,EUR/RUB,68.232000000
001438,EUR/RUB,68.232000000
001439,EUR/RUB,68.233000000
001440,EUR/RUB,68.233000000
001441,EUR/RUB,68.233000000
001442,EUR/RUB,68.233000000
001443,EUR/RUB,68.233000000
001444,EUR/RUB,68.233000000
001445,EUR/RUB,68.233000000
001446,EUR/RUB,68.231000000
001447,EUR/RUB,68.231000000
001448,EUR/RUB,68.231000000
001449,EUR/RUB,68.231000000
001449,EUR/RUB,68.289500000
001450,EUR/RUB,68.231000000
001500,EUR/RUB,68.303000000
001505,EUR/RUB,68.231000000
001508,EUR/RUB,68.232000000
001509,EUR/RUB,68.232000000
001510,EUR/RUB,68.232000000
001511,EUR/RUB,68.233000000
001513,EUR/RUB,68.232000000
001515,EUR/RUB,68.233000000
001517,EUR/RUB,68.232000000
001518,EUR/RUB,68.233000000
001520,EUR/RUB,68.288300000
001535,EUR/RUB,68.232000000
001536,EUR/RUB,68.233000000
001541,EUR/RUB,68.233000000
001544,EUR/RUB,68.232000000
001545,EUR/RUB,68.233000000
001546,EUR/RUB,68.233000000
001551,EUR/RUB,68.288900000
001558,EUR/RUB,68.233000000
001601,EUR/RUB,68.233000000
001601,EUR/RUB,68.233000000
001608,EUR/RUB,68.233000000
001616,EUR/RUB,68.233000000
001617,EUR/RUB,68.233000000
001618,EUR/RUB,68.262000000
001618,EUR/RUB,68.239000000
001619,EUR/RUB,68.240000000
001622,EUR/RUB,68.300000000
001622,EUR/RUB,68.241000000
001627,EUR/RUB,68.242000000
001633,EUR/RUB,68.242000000
001634,EUR/RUB,68.244000000
001646,EUR/RUB,68.243000000
001647,EUR/RUB,68.244000000
001648,EUR/RUB,68.265000000
001650,EUR/RUB,68.243000000
001652,EUR/RUB,68.244000000
001653,EUR/RUB,68.303100000
001700,EUR/RUB,68.244000000
001700,EUR/RUB,68.243000000
001701,EUR/RUB,68.244000000
001704,EUR/RUB,68.244000000
001705,EUR/RUB,68.243000000
001707,EUR/RUB,68.244000000
001708,EUR/RUB,68.243000000
001709,EUR/RUB,68.244000000
001710,EUR/RUB,68.244000000
001711,EUR/RUB,68.244000000
001712,EUR/RUB,68.244000000
001715,EUR/RUB,68.243000000
001716,EUR/RUB,68.244000000
001719,EUR/RUB,68.244000000
001720,EUR/RUB,68.244000000
001722,EUR/RUB,68.244000000
001724,EUR/RUB,68.303100000
001743,EUR/RUB,68.245000000
001744,EUR/RUB,68.246000000
001801,EUR/RUB,68.245000000
001817,EUR/RUB,68.245000000
001818,EUR/RUB,68.245000000
001820,EUR/RUB,68.245000000
001821,EUR/RUB,68.244000000
001822,EUR/RUB,68.244000000
001823,EUR/RUB,68.245000000
001824,EUR/RUB,68.244000000
001825,EUR/RUB,68.245000000
001828,EUR/RUB,68.245000000
001834,EUR/RUB,68.245000000
001839,EUR/RUB,68.245000000
001845,EUR/RUB,68.245000000
001846,EUR/RUB,68.245000000
001848,EUR/RUB,68.245000000
001849,EUR/RUB,68.306100000
001849,EUR/RUB,68.246000000
001850,EUR/RUB,68.269000000
001851,EUR/RUB,68.245000000
001853,EUR/RUB,68.246000000
001854,EUR/RUB,68.246000000
001857,EUR/RUB,68.246000000
001858,EUR/RUB,68.246000000
001859,EUR/RUB,68.246000000
001900,EUR/RUB,68.246000000
001901,EUR/RUB,68.246000000
001903,EUR/RUB,68.247000000
001904,EUR/RUB,68.246000000
001910,EUR/RUB,68.246000000
001914,EUR/RUB,68.245000000
001915,EUR/RUB,68.246000000
001916,EUR/RUB,68.246000000
001920,EUR/RUB,68.246000000
001921,EUR/RUB,68.306100000
001921,EUR/RUB,68.246000000
001926,EUR/RUB,68.246000000
001927,EUR/RUB,68.246000000
001945,EUR/RUB,68.246000000
001949,EUR/RUB,68.246000000
002000,EUR/RUB,68.340000000
002000,EUR/RUB,68.306800000
002007,EUR/RUB,68.245000000
002008,EUR/RUB,68.243000000
002015,EUR/RUB,68.243000000
002018,EUR/RUB,68.242000000
002019,EUR/RUB,68.242000000
002022,EUR/RUB,68.243000000
002022,EUR/RUB,68.242000000
002024,EUR/RUB,68.242000000
002025,EUR/RUB,68.243000000
002026,EUR/RUB,68.242000000
002031,EUR/RUB,68.304900000
002031,EUR/RUB,68.242000000
002032,EUR/RUB,68.242000000
002033,EUR/RUB,68.243000000
002036,EUR/RUB,68.243000000
002037,EUR/RUB,68.241000000
002038,EUR/RUB,68.240000000
002039,EUR/RUB,68.266000000
002040,EUR/RUB,68.239000000
002041,EUR/RUB,68.240000000
002042,EUR/RUB,68.240000000
002044,EUR/RUB,68.240000000
002050,EUR/RUB,68.240000000
002051,EUR/RUB,68.243000000
002052,EUR/RUB,68.243000000
002054,EUR/RUB,68.243000000
002056,EUR/RUB,68.243000000
002101,EUR/RUB,68.243000000
002102,EUR/RUB,68.305500000
002102,EUR/RUB,68.243000000
002104,EUR/RUB,68.243000000
002105,EUR/RUB,68.243000000
002106,EUR/RUB,68.242000000
002109,EUR/RUB,68.269000000
002110,EUR/RUB,68.243000000
002112,EUR/RUB,68.242000000
002113,EUR/RUB,68.243000000
002117,EUR/RUB,68.243000000
002121,EUR/RUB,68.244000000
002122,EUR/RUB,68.243000000
002124,EUR/RUB,68.243000000
002126,EUR/RUB,68.243000000
002127,EUR/RUB,68.243000000
002128,EUR/RUB,68.244000000
002129,EUR/RUB,68.243000000
002131,EUR/RUB,68.243000000
002132,EUR/RUB,68.243000000
002133,EUR/RUB,68.306100000
002138,EUR/RUB,68.244000000
002146,EUR/RUB,68.244000000
002159,EUR/RUB,68.244000000
002200,EUR/RUB,68.244000000
002211,EUR/RUB,68.245000000
002212,EUR/RUB,68.244000000
002216,EUR/RUB,68.245000000
002227,EUR/RUB,68.244000000
002228,EUR/RUB,68.245000000
002229,EUR/RUB,68.244000000
002238,EUR/RUB,68.245000000
002248,EUR/RUB,68.246000000
002249,EUR/RUB,68.307400000
002250,EUR/RUB,68.247000000
002250,EUR/RUB,68.272000000
002252,EUR/RUB,68.247000000
002253,EUR/RUB,68.247000000
002316,EUR/RUB,68.247000000
002317,EUR/RUB,68.247000000
002318,EUR/RUB,68.247000000
002319,EUR/RUB,68.247000000
002320,EUR/RUB,68.309200000
002320,EUR/RUB,68.246000000
002321,EUR/RUB,68.249000000
002322,EUR/RUB,68.275000000
002333,EUR/RUB,68.248000000
002336,EUR/RUB,68.248000000
002339,EUR/RUB,68.248000000
002349,EUR/RUB,68.248000000
002351,EUR/RUB,68.312900000
002356,EUR/RUB,68.249000000
002400,EUR/RUB,68.249000000
002402,EUR/RUB,68.249000000
002403,EUR/RUB,68.248000000
002405,EUR/RUB,68.248000000
002411,EUR/RUB,68.248000000
002412,EUR/RUB,68.248000000
002413,EUR/RUB,68.249000000
002414,EUR/RUB,68.249000000
002416,EUR/RUB,68.249000000
002417,EUR/RUB,68.248000000
002420,EUR/RUB,68.248000000
002421,EUR/RUB,68.248000000
002422,EUR/RUB,68.248000000
002423,EUR/RUB,68.248000000
002424,EUR/RUB,68.248000000
002428,EUR/RUB,68.248000000
002430,EUR/RUB,68.248000000
002455,EUR/RUB,68.248000000
002457,EUR/RUB,68.248000000
002500,EUR/RUB,68.326000000
002505,EUR/RUB,68.248000000
002516,EUR/RUB,68.248000000
002517,EUR/RUB,68.248000000
002518,EUR/RUB,68.248000000
002523,EUR/RUB,68.248000000
002524,EUR/RUB,68.248000000
002526,EUR/RUB,68.249000000
